Age,Gender,Sexuality,Ethnicity,EdLevel,CompanySize,Country,Employment,DevType(Position),Currency,CurrencySymbol,Salary,SalaryFreq,DollarizedSalary,YearsCode,YearsCodePro,OperatingSystem,DatabaseWantToWorkWith,DatabaseHaveWorkedWith,FrameworkWantToWorkWith,FrameworkHaveWorkedWith,LanguageWantToWorkWith,LanguageHaveWorkedWith,PlatformWantToWorkWith,PlatformHaveWorkedWith,SurveyYear
35-44 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,100 to 499 employees,USA,"Employed, full-time","Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Project manager;Cloud infrastructure engineer;Designer",United States dollar,USD,150000.0,Yearly,150000.0,14,11,Windows,Elasticsearch;PostgreSQL,PostgreSQL,Angular;Node.js,Angular;Angular.js;Node.js,Bash/Shell;HTML/CSS;JavaScript;PHP;Python;TypeScript,Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;TypeScript,AWS,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,UK,"Employed, full-time","Developer, front-end",Pound sterling,GBP,70000.0,Yearly,87948.0,5,4,,,MariaDB;MongoDB;MySQL;Firebase Realtime Database;Redis;SQLite,,jQuery;Next.js;Node.js;Nuxt.js;React.js;Vue.js,,JavaScript;PHP;PowerShell;SQL;TypeScript,,AWS;DigitalOcean;Firebase;Google Cloud;VMware,2022
35-44 years old,Man,Straight / Heterosexual,Caribbean;Hispanic or Latino/a,Some college/university study without earning a degree,2 to 9 employees,USA,"Employed, full-time","Developer, back-end;Cloud infrastructure engineer;Senior Executive (C-Suite, VP, etc.);Blockchain",United States dollar,USD,150000.0,Yearly,150000.0,20,16,Linux-based,DynamoDB,DynamoDB,Node.js,Node.js,Python;Solidity,Bash/Shell;HTML/CSS;JavaScript;Solidity,AWS,AWS;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,Hispanic or Latino/a,Some college/university study without earning a degree,,USA,"Employed, full-time;Student, part-time",Other (please specify):,,,,,,4,,Linux-based;macOS,Elasticsearch;MySQL;PostgreSQL,Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL,,Django;Flask;Svelte,Bash/Shell;Python;SQL,Bash/Shell;C++;Python;SQL;VBA,AWS;Google Cloud,AWS;Google Cloud,2022
18-24 years old,Man,Straight / Heterosexual,South Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,India,"Not employed, but looking for work","Developer, back-end;Developer, desktop or enterprise applications;Educator",,,,,,5,,Windows,PostgreSQL,MySQL,Node.js;React.js,Node.js,Assembly;JavaScript;LISP;PowerShell;Rust;SQL,JavaScript;PowerShell;Rust;SQL,,,2022
25-34 years old,Man,Straight / Heterosexual,White;European,"Other doctoral degree (Ph.D., Ed.D., etc.)","5,000 to 9,999 employees",USA,"Employed, full-time",Academic researcher;Scientist,United States dollar,USD,85000.0,Yearly,85000.0,15,10,Linux-based,PostgreSQL;SQLite,SQLite,,,Haskell;Julia;Rust,Bash/Shell;C;C++;HTML/CSS;Julia;Python,,DigitalOcean,2022
25-34 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,210000.0,Yearly,210000.0,8,7,Linux-based;macOS;Windows,MongoDB;PostgreSQL;Redis;SQLite,Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,Express;FastAPI;Flask;Gatsby;Next.js;Node.js;React.js,Express;FastAPI;Flask;Gatsby;Next.js;Node.js;React.js,Bash/Shell;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,AWS;Heroku,AWS;Heroku,2022
35-44 years old,Man,Bisexual,White,Some college/university study without earning a degree,2 to 9 employees,UK,"Employed, full-time","Developer, full-stack",Pound sterling,GBP,24000.0,Yearly,30153.0,22,13,Linux-based,MySQL,MySQL,Laravel;Vue.js,Laravel;Vue.js,HTML/CSS;JavaScript;PHP;Python;TypeScript,HTML/CSS;JavaScript;PHP;SQL,Linode,Linode,2022
18-24 years old,Man,Gay or Lesbian,White,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,UK,"Employed, full-time","Developer, full-stack",Pound sterling,GBP,30000.0,Yearly,37692.0,6,4,Windows,Cassandra;Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,Angular;ASP.NET;ASP.NET Core ;Blazor;Node.js;React.js,Angular;ASP.NET;ASP.NET Core ;Blazor;jQuery;React.js,C#;HTML/CSS;Kotlin;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,Microsoft Azure,Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,,USA,"Not employed, but looking for work","Developer, full-stack",,,,,,2,,macOS,Cloud Firestore;DynamoDB;MongoDB;Redis,PostgreSQL,Angular;Angular.js;Django;Node.js;Nuxt.js;React.js;Ruby on Rails;Vue.js,Node.js;React.js;Ruby on Rails;Vue.js,C#;Java;Python,HTML/CSS;JavaScript;Ruby;SQL,AWS;Microsoft Azure;Oracle Cloud Infrastructure,AWS;Heroku,2022
25-34 years old,Man,Straight / Heterosexual,White;North American;Hispanic or Latino/a,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",Mexico,"Employed, full-time","Developer, desktop or enterprise applications;Cloud infrastructure engineer",Mexican peso,MXN,100000.0,Monthly,60216.0,14,9,Linux-based,Oracle,MySQL;Oracle,,Flask;Vue.js,Bash/Shell;HTML/CSS;Java;JavaScript,Bash/Shell;HTML/CSS;Java;JavaScript,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,2022
Under 18 years old,Man,Straight / Heterosexual,Asian,Primary/elementary school,,Canada,,,,,,,,4,,Windows;Windows Subsystem for Linux (WSL),MongoDB;PostgreSQL;Redis;SQLite,MongoDB;SQLite,Express;Node.js;React.js,Express;Node.js;React.js,Assembly;C#;Go;HTML/CSS;JavaScript;Lua;PowerShell;Rust;TypeScript,C;C++;HTML/CSS;Java;JavaScript;Lua;Rust;TypeScript,,,2022
25-34 years old,Man,Straight / Heterosexual,European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",Germany,"Employed, full-time","Engineer, data;Developer, full-stack",European Euro,EUR,45000.0,Yearly,47990.0,3,3,Linux-based,,Microsoft SQL Server;MySQL,,,,COBOL;HTML/CSS;Java;JavaScript;MATLAB;PowerShell;Python;SQL;VBA,,,2022
18-24 years old,Man,,White;European;Asian,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",500 to 999 employees,Germany,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;DevOps specialist;Data or business analyst;Designer;Marketing or sales professional",European Euro,EUR,40000.0,Yearly,42657.0,8,4,Linux-based;macOS;Windows;Windows Subsystem for Linux (WSL),Microsoft SQL Server;MongoDB;Oracle,MongoDB;SQLite,Django;Flask;jQuery;Next.js;React.js,Express;Flask;jQuery;Next.js;React.js,Dart;Go;HTML/CSS;JavaScript;Kotlin;Python;SQL;VBA,Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,,,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",UK,"Employed, full-time","Developer, full-stack",Pound sterling,GBP,35000.0,Yearly,43974.0,5,2,Windows,,MongoDB,,Node.js;React.js,,C++;JavaScript;Python;TypeScript,,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end",United States dollar,USD,120000.0,Yearly,120000.0,9,4,macOS,DynamoDB;MongoDB;PostgreSQL,DynamoDB;Elasticsearch;MySQL;PostgreSQL,Deno;Fastify;Next.js;Node.js;Phoenix;React.js,Angular;Express;Fastify;Next.js;Node.js;React.js,Clojure;Elixir;HTML/CSS;JavaScript;TypeScript,HTML/CSS;Java;JavaScript;SQL;TypeScript,DigitalOcean;Heroku,AWS;DigitalOcean;Firebase;Google Cloud;Heroku,2022
25-34 years old,Man,Straight / Heterosexual,White;Hispanic or Latino/a,Some college/university study without earning a degree,"1,000 to 4,999 employees",USA,"Employed, part-time","Developer, back-end;Security professional",United States dollar,USD,40000.0,Yearly,40000.0,13,6,macOS,,,Phoenix;React.js,Phoenix;React.js,Clojure;Elixir;Erlang;Haskell;Rust;Solidity,C++;Elixir;JavaScript;Python;Ruby,DigitalOcean,AWS;DigitalOcean,2022
35-44 years old,Prefer not to say,Prefer not to say,Prefer not to say,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,Germany,"Employed, full-time","Developer, embedded applications or devices",European Euro,EUR,60000.0,Yearly,63986.0,30,13,Windows,SQLite,Cassandra;DynamoDB;Redis,,React.js,Go,Bash/Shell;C;C++;Python,,AWS,2022
18-24 years old,Man,Straight / Heterosexual,Hispanic or Latino/a;South American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,Chile,"Employed, full-time","Developer, full-stack",Chilean peso,CLP,,Monthly,,9,1,macOS;Windows,Cassandra;Redis,MariaDB;MongoDB,Angular;Node.js;Phoenix;React.js,Express;Node.js;React.js,Elixir;Go;JavaScript;TypeScript,HTML/CSS;JavaScript;PHP;SQL,,DigitalOcean,2022
18-24 years old,Man,Straight / Heterosexual,South American,"Associate degree (A.A., A.S., etc.)",100 to 499 employees,Argentina,"Employed, full-time","Developer, full-stack;Student",United States dollar,USD,5700.0,Monthly,68400.0,11,5,Windows;Windows Subsystem for Linux (WSL),PostgreSQL;Firebase Realtime Database,MySQL;Firebase Realtime Database,Deno;Next.js,Angular;Express;Next.js;Node.js,Rust;SQL;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript,AWS;Firebase;Google Cloud,AWS;Firebase;Google Cloud,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,Canada,"Employed, full-time","Engineer, data;Developer, full-stack;DevOps specialist;Senior Executive (C-Suite, VP, etc.)",Canadian dollar,CAD,85000.0,Yearly,66372.0,18,11,Linux-based;macOS,DynamoDB;Elasticsearch;PostgreSQL;Redis;SQLite,Elasticsearch;PostgreSQL;Redis;SQLite,FastAPI,Flask;Vue.js,Python;Rust;TypeScript,Bash/Shell;Go;HTML/CSS;Python;Rust;SQL;TypeScript,AWS,AWS;Google Cloud,2022
18-24 years old,Man,,White;European,Something else,,Germany,"Student, full-time",,,,,,,4,,Windows,SQLite,SQLite,FastAPI;Flask;Svelte,Angular;FastAPI;Flask;Node.js;React.js,Dart;Python;Rust,Bash/Shell;C;C++;Dart;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript;VBA,,,2022
18-24 years old,"Non-binary, genderqueer, or gender non-conforming",Straight / Heterosexual,Middle Eastern;Hispanic or Latino/a;Multiracial;Pacific Islander,Some college/university study without earning a degree,500 to 999 employees,USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,76000.0,Yearly,76000.0,10,2,Windows;Windows Subsystem for Linux (WSL),PostgreSQL;Redis,MongoDB;PostgreSQL,Express;Node.js;React.js;Svelte;Vue.js,Angular;ASP.NET;Express;Node.js;React.js;Vue.js,HTML/CSS;JavaScript;Python;R;TypeScript,HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,AWS;DigitalOcean,AWS;DigitalOcean,2022
18-24 years old,"Non-binary, genderqueer, or gender non-conforming",Bisexual;Queer,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,USA,"Employed, full-time","Developer, front-end;Developer, full-stack",United States dollar,USD,92000.0,Monthly,1104000.0,5,1,Linux-based,,MySQL,Angular,Angular,HTML/CSS;Julia;OCaml;Python;Rust;Scala;TypeScript,HTML/CSS;JavaScript;Perl;Scala;SQL;TypeScript,AWS,AWS;Google Cloud,2022
55-64 years old,Prefer not to say,Prefer not to say,Prefer not to say,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10 to 19 employees,USA,"Employed, full-time","Engineer, data;Developer, back-end;Developer, QA or test;Cloud infrastructure engineer",United States dollar,USD,,,,35,30,Linux-based;Windows;Windows Subsystem for Linux (WSL),DynamoDB;Elasticsearch,Microsoft SQL Server;PostgreSQL,,,TypeScript,Java;Python;SQL,,AWS,2022
25-34 years old,"Non-binary, genderqueer, or gender non-conforming",Queer,White;Ethnoreligious group,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,USA,"Student, full-time",,,,,,,,,Windows Subsystem for Linux (WSL),PostgreSQL;Redis;SQLite,PostgreSQL,Flask;Next.js;Node.js;React.js,Flask;jQuery,C;Python;Rust;SQL;TypeScript,JavaScript;Python;SQL,,Heroku,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,USA,"Employed, full-time","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",United States dollar,USD,105000.0,Yearly,105000.0,12,5,macOS,PostgreSQL;Redis,Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis,Ruby on Rails,jQuery;Ruby on Rails,Crystal;Ruby;Rust;TypeScript,Bash/Shell;Crystal;JavaScript;Ruby;SQL;TypeScript,Heroku,Google Cloud;Heroku,2022
25-34 years old,Man,Straight / Heterosexual,Hispanic or Latino/a,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,Chile,"Employed, full-time;Employed, part-time",Data scientist or machine learning specialist;Other (please specify):,Chilean peso,CLP,2000000.0,Monthly,28908.0,9,1,Windows;Windows Subsystem for Linux (WSL),PostgreSQL;Firebase Realtime Database;SQLite,PostgreSQL;Firebase Realtime Database;SQLite,Next.js;React.js;Vue.js,Flask;Ruby on Rails,Bash/Shell;C#;Go;HTML/CSS;JavaScript;Kotlin;Lua;Python;Ruby;SQL,Bash/Shell;HTML/CSS;JavaScript;Kotlin;Python;Ruby;SQL,AWS;DigitalOcean;Google Cloud,AWS;Firebase;Google Cloud;Heroku,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,USA,"Employed, full-time",Other (please specify):,,,,,,Less than 1 year,,,,,,Node.js,,HTML/CSS;JavaScript;Python,,DigitalOcean;Firebase,2022
18-24 years old,Man,Straight / Heterosexual,White;European,Some college/university study without earning a degree,100 to 499 employees,UK,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",Pound sterling,GBP,41600.0,Yearly,52266.0,9,6,Windows,Microsoft SQL Server,Microsoft SQL Server,ASP.NET Core ;Blazor,ASP.NET Core ;Blazor,C#;F#;HTML/CSS;PowerShell,Bash/Shell;C;C#;HTML/CSS;JavaScript;MATLAB;PowerShell;Python;SQL,,,2022
18-24 years old,Man,Straight / Heterosexual,Hispanic or Latino/a,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, full-stack;Developer, back-end;Database administrator",United States dollar,USD,45000.0,Monthly,540000.0,10,3,Linux-based;Windows;Windows Subsystem for Linux (WSL),Elasticsearch;Redis,PostgreSQL;SQLite,Deno;Vue.js,Svelte,Dart;Rust,Bash/Shell;C;C++;Go;HTML/CSS;JavaScript;Lua;SQL,Google Cloud;Linode,DigitalOcean;Managed Hosting,2022
25-34 years old,Man,Straight / Heterosexual,,"Associate degree (A.A., A.S., etc.)",2 to 9 employees,USA,"Employed, full-time","Developer, full-stack;Cloud infrastructure engineer",United States dollar,USD,96000.0,Yearly,96000.0,10,6,Linux-based,DynamoDB;PostgreSQL;SQLite,DynamoDB;MySQL;PostgreSQL;SQLite,React.js,React.js,Clojure;SQL,Bash/Shell;Clojure;HTML/CSS;SQL,AWS,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White;North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,Canada,"Employed, full-time","Developer, back-end",Canadian dollar,CAD,234000.0,Yearly,182717.0,14,11,macOS,DynamoDB,DynamoDB,,,Bash/Shell;Java;TypeScript,Bash/Shell;Java;JavaScript;PowerShell;TypeScript,AWS,AWS;Google Cloud,2022
25-34 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,2 to 9 employees,UK,"Employed, full-time","Developer, mobile",Pound sterling,GBP,40000.0,Yearly,50256.0,10,6,macOS,Cloud Firestore;PostgreSQL;Firebase Realtime Database;Redis;SQLite,Cloud Firestore;MySQL;PostgreSQL;Firebase Realtime Database;Redis;SQLite,,jQuery;Node.js,C;C++;Kotlin;Swift;TypeScript,Assembly;Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;Objective-C;PHP;Swift;TypeScript,AWS;DigitalOcean;Firebase,AWS;DigitalOcean;Firebase;Heroku,2022
18-24 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,,USA,"Student, full-time;Employed, part-time","Developer, full-stack;Student;DevOps specialist",,,,,,9,,macOS;Windows Subsystem for Linux (WSL),MySQL,MySQL,,,Bash/Shell;C;HTML/CSS;Java;JavaScript;Python;SQL;Swift;TypeScript,Assembly;Bash/Shell;C;Haskell;HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript,,Google Cloud,2022
18-24 years old,Man,Straight / Heterosexual,Hispanic or Latino/a,"Professional degree (JD, MD, etc.)",,Mexico,"Not employed, but looking for work","Developer, full-stack;Academic researcher;Designer",,,,,,2,,Linux-based,MySQL;SQLite,Cloud Firestore;Firebase Realtime Database;Redis,Django;Ruby on Rails;Vue.js,FastAPI;Flask;Next.js;Node.js;React.js;Svelte,C;Go;Rust,Dart;HTML/CSS;JavaScript;Python;TypeScript,DigitalOcean;Google Cloud,AWS;Firebase;Heroku,2022
18-24 years old,"Non-binary, genderqueer, or gender non-conforming",Prefer to self-describe:,Prefer not to say,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,Canada,"Student, full-time",,,,,,,5,,,SQLite,SQLite,,Express;jQuery;Node.js,Assembly;Bash/Shell;C;Erlang;Go;Haskell;HTML/CSS;LISP;Lua;SQL;TypeScript,Bash/Shell;C;Go;HTML/CSS;Java;JavaScript;Python,,DigitalOcean,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,,Weekly,,15,5,macOS,Cassandra;PostgreSQL,Cassandra;Oracle;PostgreSQL,,,Clojure;SQL,Clojure;Java;SQL,,,2022
Under 18 years old,Man,Prefer to self-describe:,White,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,UK,"Student, full-time",,,,,,,6,,Linux-based;Windows,MariaDB;MySQL;SQLite,MariaDB;MySQL;SQLite,,jQuery,Bash/Shell;C;C#;C++;PowerShell;Python;SQL,Bash/Shell;C;C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;VBA,AWS,AWS,2022
25-34 years old,Man,Prefer not to say,White;European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,Germany,"Employed, full-time","Developer, back-end;Educator;Engineering manager;Project manager;Cloud infrastructure engineer;Senior Executive (C-Suite, VP, etc.)",European Euro,EUR,100000.0,Yearly,106644.0,25,14,macOS,Cassandra;MariaDB;MongoDB;Redis,Elasticsearch;MongoDB;MySQL;Redis,Node.js;React.js,Node.js;React.js,Go;Kotlin;Rust;TypeScript,Bash/Shell;Go;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,OpenStack,OpenStack,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, back-end;Database administrator;Cloud infrastructure engineer",United States dollar,USD,230000.0,Yearly,230000.0,12,6,Linux-based;macOS,MySQL,DynamoDB;MySQL,Svelte,React.js;Svelte,Go,Bash/Shell;C++;Go;HTML/CSS;Python;Ruby;Rust,AWS,AWS,2022
25-34 years old,Man,Gay or Lesbian;Queer,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Data scientist or machine learning specialist;Developer, full-stack",United States dollar,USD,160000.0,Weekly,8000000.0,6,3,Linux-based;macOS,,MySQL,,,Julia;Python,Julia;Python,AWS,AWS,2022
35-44 years old,Man,Prefer not to say,White,Some college/university study without earning a degree,"Just me - I am a freelancer, sole proprietor, etc.",USA,"Independent contractor, freelancer, or self-employed","Developer, full-stack",United States dollar,USD,102000.0,Yearly,102000.0,25,13,Linux-based,MariaDB;SQLite,MariaDB;SQLite,jQuery,jQuery;Node.js;Ruby on Rails;Vue.js,Go;HTML/CSS;Lua;PHP;SQL,C;Go;HTML/CSS;JavaScript;Lua;PHP;Python;Ruby;SQL,Linode,Linode,2022
18-24 years old,Man,Straight / Heterosexual,Hispanic or Latino/a,Some college/university study without earning a degree,20 to 99 employees,USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,240000.0,Yearly,240000.0,3,2,Linux-based;macOS,PostgreSQL,MongoDB;PostgreSQL;Redis,Nuxt.js;React.js;Ruby on Rails,Angular;Gatsby;Next.js;React.js;Ruby on Rails,Elixir;Ruby;Rust;Scala,HTML/CSS;JavaScript;Python;Ruby;TypeScript,,Heroku,2022
25-34 years old,Man,Straight / Heterosexual,Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,UK,"Employed, full-time","Developer, full-stack;Developer, back-end;Cloud infrastructure engineer",Pound sterling,GBP,,Monthly,,7,3,Linux-based;macOS,Cassandra;DynamoDB;Elasticsearch;MongoDB;MySQL;Neo4j;PostgreSQL;Redis,DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,Django;Node.js;React.js,Django;Node.js;React.js,Elixir;Go;Java;JavaScript;Kotlin;Python;Rust;Scala;SQL;TypeScript,Dart;Elixir;Erlang;Go;Java;JavaScript;Python;SQL;TypeScript,AWS;Google Cloud,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, full-stack;Engineering manager",United States dollar,USD,131250.0,Weekly,6562500.0,12,10,macOS,,,Deno;Node.js;Nuxt.js;Svelte;Vue.js,jQuery;Node.js;Vue.js,Go;HTML/CSS;JavaScript;Rust;TypeScript,Go;HTML/CSS;JavaScript;Rust;TypeScript,AWS;DigitalOcean;Firebase,AWS;DigitalOcean,2022
Under 18 years old,Man,Straight / Heterosexual,White;Indigenous (such as Native American or Indigenous Australian),"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,USA,"Student, part-time",,,,,,,4,,,,,jQuery,jQuery,Bash/Shell;C#;C++;HTML/CSS;JavaScript;Python,Bash/Shell;C;C#;C++;Go;HTML/CSS;JavaScript;Python,Google Cloud,Google Cloud,2022
35-44 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,100 to 499 employees,USA,"Employed, full-time","Engineer, site reliability;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",United States dollar,USD,190400.0,Yearly,190400.0,23,10,macOS,Neo4j;SQLite,DynamoDB;Elasticsearch;MariaDB;MongoDB;MySQL;Neo4j;PostgreSQL;Redis;SQLite,,Django;Flask;Node.js;React.js,Assembly;Bash/Shell;Haskell;Kotlin;Python;Rust,Bash/Shell;Groovy;Haskell;Java;Kotlin;Lua;Python;Rust;Scala,Google Cloud;Microsoft Azure,AWS;Google Cloud,2022
18-24 years old,Man,Straight / Heterosexual,African,,,USA,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",,,,,,,,,,MongoDB,MySQL;SQLite,Flask,jQuery;Node.js;React.js,C;C#;C++,HTML/CSS;JavaScript;PHP;Python;SQL,,,2022
35-44 years old,Man,Straight / Heterosexual,Hispanic or Latino/a;South American,"Associate degree (A.A., A.S., etc.)",10 to 19 employees,Canada,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Database administrator",Canadian dollar,CAD,,Yearly,,20,16,Windows,Microsoft SQL Server,Microsoft SQL Server;MySQL,Angular.js;ASP.NET;ASP.NET Core ;Blazor;jQuery;Node.js;React.js;Vue.js,Angular.js;ASP.NET;jQuery,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;PHP;SQL,,Microsoft Azure,2022
Prefer not to say,,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",USA,"Independent contractor, freelancer, or self-employed","Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, QA or test;Engineering manager;DevOps specialist;Project manager;Cloud infrastructure engineer;Data or business analyst;Product manager;System administrator",United States dollar,USD,225000.0,Yearly,225000.0,25,17,Linux-based;macOS,PostgreSQL;Redis;SQLite,MariaDB;MySQL;PostgreSQL;Redis;SQLite,Django;Vue.js,Django;React.js;Vue.js,Bash/Shell;Go;Python;TypeScript,Bash/Shell;Go;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,Colocation;Google Cloud;Linode,AWS;Colocation;Google Cloud;Heroku;OVH,2022
Under 18 years old,Man,Straight / Heterosexual;Queer,Indian,Primary/elementary school,,UK,"Student, full-time",,,,,,,2,,Windows,MongoDB;Firebase Realtime Database;Redis,MongoDB,Deno;Django;Node.js;Svelte,Node.js,Bash/Shell;C;Go;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,Bash/Shell;HTML/CSS;JavaScript;Python;TypeScript;VBA,,,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",USA,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end",United States dollar,USD,125000.0,Yearly,125000.0,8,6,Linux-based;Windows;Windows Subsystem for Linux (WSL),Microsoft SQL Server;MongoDB,Microsoft SQL Server,ASP.NET Core ;Blazor;Gatsby;React.js,ASP.NET;ASP.NET Core ;jQuery;Node.js,C#;F#;PowerShell;SQL;TypeScript,C#;JavaScript;PowerShell;SQL;TypeScript,Microsoft Azure,Microsoft Azure,2022
35-44 years old,Woman,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,USA,"Employed, full-time",Marketing or sales professional,,,,,,Less than 1 year,,Windows,Couchbase,Couchbase,,,HTML/CSS;Java;JavaScript;Python;SQL,Java;JavaScript;SQL,,,2022
18-24 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,USA,"Student, full-time;Employed, part-time",Student;Academic researcher,,,,,,8,,Linux-based,,MySQL,,,C;C++;Haskell;LISP,C;C++;Go;Haskell;JavaScript;MATLAB;Python;SQL,Oracle Cloud Infrastructure,Oracle Cloud Infrastructure,2022
25-34 years old,Man,Straight / Heterosexual,White;European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, back-end;Scientist",United States dollar,USD,130000.0,Yearly,130000.0,15,9,macOS,,MySQL;PostgreSQL;Redis,,React.js,Clojure,Bash/Shell;Clojure;JavaScript;Kotlin;SQL,AWS,AWS;Google Cloud,2022
