Employment,Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,OpSys,Age,Gender,Sexuality,Ethnicity,ConvertedCompYearly
"Employed full-time",Bulgaria,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",13,8,"Developer, front-end;Developer, full-stack","5,000 to 9,999 employees","BGN	Bulgarian lev",4200,Monthly,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript,C#;Elixir;Go;Haskell;HTML/CSS;JavaScript;Kotlin;LISP;Node.js;Python;Scala;SQL;TypeScript,"Microsoft SQL Server;Redis",Elasticsearch;Redis;SQLite,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual",NA,27852
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,3,"Developer, back-end","10,000 or more employees","GBP	Pound sterling",38800,Yearly,Bash/Shell;C;Java;Kotlin;Perl;PowerShell;Python,Bash/Shell;C;Java;Kotlin;Python,NA,NA,"IBM Cloud or Watson","IBM Cloud or Watson",MacOS,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",50153
"Employed full-time",India,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",15,11,"Developer, mobile;Engineering manager","10,000 or more employees","INR	Indian rupee",2200000,Yearly,HTML/CSS;JavaScript;Node.js;Objective-C;Swift;TypeScript,Dart;HTML/CSS;JavaScript;Node.js;Objective-C;TypeScript,Firebase;SQLite,Firebase;MongoDB;SQLite,"Google Cloud Platform;Microsoft Azure","Google Cloud Platform;Microsoft Azure",MacOS,"25-34 years old",Man,"Straight / Heterosexual","South Asian",30716
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,7,"Developer, back-end","100 to 499 employees","EUR European Euro",72000,Yearly,Bash/Shell;C;C++;Java;JavaScript;Node.js;PHP;Python;Ruby;SQL;TypeScript,Bash/Shell;JavaScript;Node.js;PHP;Python;SQL;TypeScript,MariaDB;MySQL;SQLite,MariaDB;MySQL,NA,NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",77831
"Employed full-time",Denmark,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",7,3,"Developer, front-end","100 to 499 employees","DKK	Danish krone",47000,Monthly,C#;HTML/CSS;SQL;TypeScript,HTML/CSS;Node.js;Python;TypeScript,"Microsoft SQL Server","Microsoft SQL Server","Microsoft Azure","Microsoft Azure",Windows,"25-34 years old",Woman,"Straight / Heterosexual","White or of European descent",81624
"Employed full-time",Estonia,"Some college/university study without earning a degree",18,12,"Developer, full-stack;Student;Data or business analyst","1,000 to 4,999 employees","EUR European Euro",NA,Monthly,HTML/CSS;JavaScript;PHP;Python;Rust;SQL,HTML/CSS;JavaScript;PHP;Python;Rust;SQL,PostgreSQL;SQLite,PostgreSQL;SQLite,NA,NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Student, full-time",Tunisia,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,NA,NA,NA,NA,NA,NA,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;Python;SQL;TypeScript,Dart;Kotlin;Python,"Cassandra;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite",Elasticsearch,"Google Cloud Platform;IBM Cloud or Watson;Microsoft Azure","AWS;Microsoft Azure",Windows,"25-34 years old",Man,"Straight / Heterosexual",NA,NA
"Employed full-time",Spain,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",27,13,"Developer, full-stack","1,000 to 4,999 employees","EUR European Euro",NA,Monthly,HTML/CSS;Java;JavaScript;Node.js;SQL,HTML/CSS;Java;JavaScript;Node.js;Python;SQL,MongoDB;Oracle,MongoDB;Oracle,NA,NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Germany,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",6,2,"Academic researcher;Scientist","10 to 19 employees","EUR European Euro",50000,Yearly,Bash/Shell;Python,Bash/Shell;Python,NA,NA,NA,NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",54049
"Employed full-time",Spain,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,4,"Developer, back-end;Academic researcher;Database administrator","I donâ€™t know","EUR European Euro",NA,NA,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;TypeScript,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;PHP;Rust;TypeScript,Firebase;MariaDB;MySQL;SQLite,MariaDB,"Google Cloud Platform;Heroku",NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Armenia,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,2,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Scientist;Developer, game or graphics;Designer;System administrator","10 to 19 employees","AMD	Armenian dram",100000,Weekly,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,C#;PowerShell;Python,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,NA,Heroku,"Google Cloud Platform;Microsoft Azure",Windows,"18-24 years old","Man;Or, in your own words:","Straight / Heterosexual;Prefer to self-describe:","Or, in your own words:",10450
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",7,7,"Developer, front-end;Developer, full-stack;Developer, back-end","10,000 or more employees","EUR European Euro",38000,Yearly,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript,"Microsoft SQL Server;MySQL;Oracle;PostgreSQL",PostgreSQL,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",41077
"Employed full-time",Israel,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",11,9,"Developer, full-stack;Engineer, data;Data scientist or machine learning specialist;Developer, back-end;DevOps specialist;Data or business analyst;Product manager","1,000 to 4,999 employees","ILS	Israeli new shekel",NA,Monthly,Bash/Shell;C;C#;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;PowerShell;Python;Ruby;SQL;TypeScript,Bash/Shell;Go;Groovy;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;TypeScript,"Cassandra;Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite",Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,"AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure",DigitalOcean,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Finland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,3,"Developer, mobile;Developer, full-stack;Developer, QA or test;Developer, game or graphics;Designer","10 to 19 employees","EUR European Euro",3500,Monthly,C;HTML/CSS;JavaScript;Node.js;TypeScript,Node.js;TypeScript,NA,NA,"Microsoft Azure",NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",45396
"Student, full-time",Israel,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,NA,NA,NA,NA,NA,NA,C;C++;Java;Python,C++;Java;Python,MariaDB,NA,AWS,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent;Middle Eastern",NA
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Some college/university study without earning a degree",4,2,"Developer, full-stack;Student","2 to 9 employees","GBP	Pound sterling",15000,Yearly,C#;HTML/CSS;JavaScript;SQL;VBA,NA,"Microsoft SQL Server",MongoDB,NA,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",19389
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",24,15,"Developer, full-stack;DevOps specialist","100 to 499 employees","EUR European Euro",72000,Yearly,Bash/Shell;Go;HTML/CSS;JavaScript;SQL;TypeScript,Bash/Shell;Go;HTML/CSS;JavaScript;Rust;SQL;TypeScript,PostgreSQL,PostgreSQL,NA,NA,Linux-based,"35-44 years old",Man,NA,"White or of European descent",77831
"Not employed, but looking for work",Turkey,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,NA,Student,NA,NA,NA,NA,Assembly;Bash/Shell;C;C++;Haskell;HTML/CSS;Python;SQL,Bash/Shell;Go;HTML/CSS;JavaScript;Kotlin;Python;Ruby;Rust,PostgreSQL;Redis;SQLite,Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Heroku,"AWS;DigitalOcean;Google Cloud Platform;Heroku",Linux-based,"18-24 years old",Man,NA,NA,NA
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",18,13,"Developer, embedded applications or devices","500 to 999 employees","USD	United States dollar",160000,Yearly,Bash/Shell;C;C++;JavaScript;Python,Bash/Shell;C;C++;JavaScript;Node.js;Python;SQL,NA,NA,NA,NA,Linux-based,"35-44 years old",Man,NA,"South Asian",160000
"Employed full-time",Israel,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,8,"Developer, back-end;Engineering manager","1,000 to 4,999 employees","ILS	Israeli new shekel",686677,Yearly,Java;Scala,Scala,"Couchbase;Elasticsearch;Microsoft SQL Server",Couchbase;Elasticsearch,AWS,AWS,MacOS,"25-34 years old",Man,"Straight / Heterosexual",Multiracial,200409
"Independent contractor, freelancer, or self-employed","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",37,31,"Developer, full-stack;Other (please specify):","Just me - I am a freelancer, sole proprietor, etc.","USD	United States dollar",185000,Yearly,C#;Dart;Go;Java;JavaScript;Matlab;SQL,C#;Dart;Java;JavaScript;Matlab;SQL,"Microsoft SQL Server","Microsoft SQL Server","AWS;IBM Cloud or Watson;Microsoft Azure","AWS;IBM Cloud or Watson;Microsoft Azure",Windows,"55-64 years old",Man,"Straight / Heterosexual","White or of European descent",185000
"Student, full-time",Canada,"Primary/elementary school",4,NA,NA,NA,NA,NA,NA,HTML/CSS;JavaScript;PHP,HTML/CSS;JavaScript;PHP,MySQL,MySQL,NA,NA,Windows,"Under 18 years old",Man,"Straight / Heterosexual","Hispanic or Latino/a/x;Or, in your own words:",NA
"Independent contractor, freelancer, or self-employed",France,"Some college/university study without earning a degree",10,NA,NA,NA,NA,NA,NA,Bash/Shell;HTML/CSS;JavaScript;Node.js;Perl;PHP;Python;Ruby;SQL,Bash/Shell;C;C++;Java;PowerShell;Python,MySQL;PostgreSQL,MariaDB;MySQL;PostgreSQL;SQLite,NA,NA,Linux-based,"18-24 years old",Man,NA,"Middle Eastern",NA
"Student, full-time",Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,NA,NA,NA,NA,NA,NA,HTML/CSS;Java;Python,HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript,MySQL,MySQL,Heroku,Heroku,Windows,"Under 18 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"I prefer not to say",Canada,"Something else",8,6,NA,"I donâ€™t know","KRW	South Korean won",NA,NA,HTML/CSS;JavaScript;Python,Python,MySQL;SQLite,MySQL;SQLite,NA,NA,Windows,"Prefer not to say","Prefer not to say","Prefer not to say","Prefer not to say",NA
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",20,9,"DevOps specialist","1,000 to 4,999 employees","USD	United States dollar",107972,Yearly,Bash/Shell;Perl;PowerShell;VBA,Bash/Shell;Perl;Rust;VBA,NA,NA,AWS,AWS,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",107972
"Employed full-time","Hong Kong (S.A.R.)","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",9,7,"Developer, full-stack;Developer, back-end","20 to 99 employees","HKD	Hong Kong dollar",520000,Yearly,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL,Bash/Shell;Java;Rust,"DynamoDB;IBM DB2;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite",DynamoDB;Elasticsearch;MongoDB,AWS,"AWS;Google Cloud Platform;Microsoft Azure",MacOS,"25-34 years old",Man,"Straight / Heterosexual","East Asian",66897
"Not employed, but looking for work",Poland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6,NA,"Developer, back-end;Student;System administrator",NA,NA,NA,NA,Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Perl;Python;SQL,Bash/Shell;C;Go;Haskell;Java;Kotlin;LISP;SQL;TypeScript,"Microsoft SQL Server;Oracle;PostgreSQL;SQLite",PostgreSQL;Redis,NA,NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time","United Arab Emirates","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",20,16,"Developer, full-stack","1,000 to 4,999 employees","AED United Arab Emirates dirham",NA,Monthly,C;Delphi;Java,Java,"Microsoft SQL Server;MySQL;Oracle;PostgreSQL",Couchbase;MongoDB,"AWS;Microsoft Azure;Oracle Cloud Infrastructure",NA,MacOS,"35-44 years old",Man,"Straight / Heterosexual","South Asian",NA
"Employed full-time",Argentina,"Some college/university study without earning a degree",5,"Less than 1 year","Developer, full-stack","20 to 99 employees","USD	United States dollar",75000,Yearly,HTML/CSS;JavaScript;Node.js;Python;Ruby;SQL;TypeScript,HTML/CSS;JavaScript;Ruby;TypeScript,Firebase;MySQL,PostgreSQL,"Google Cloud Platform;Heroku","AWS;Google Cloud Platform;Heroku",MacOS,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent;Hispanic or Latino/a/x",75000
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Some college/university study without earning a degree",8,6,"Developer, full-stack","100 to 499 employees","GBP	Pound sterling",37500,Yearly,HTML/CSS;JavaScript;PHP;SQL,Go;HTML/CSS;JavaScript;PHP;TypeScript,MySQL,NA,AWS,NA,MacOS,"25-34 years old",Man,"Gay or Lesbian","White or of European descent",48472
"Student, full-time",Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6,NA,NA,NA,NA,NA,NA,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Python,Assembly;C#,NA,NA,NA,NA,Windows,"Under 18 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",24,16,"Developer, full-stack","I donâ€™t know","USD	United States dollar",120000,Yearly,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;SQL,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,"IBM DB2;PostgreSQL",MongoDB;MySQL;PostgreSQL,"Microsoft Azure","AWS;Google Cloud Platform;Microsoft Azure",Windows,"35-44 years old",Man,"Straight / Heterosexual;Bisexual","White or of European descent",120000
"Student, full-time",Azerbaijan,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",4,NA,NA,NA,NA,NA,NA,C++;Kotlin,C++;Kotlin;Rust,SQLite,SQLite,NA,NA,Windows,NA,NA,NA,NA,NA
"I prefer not to say","Viet Nam","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,NA,NA,NA,NA,NA,NA,C++;Java;JavaScript;Python,C++;Haskell;Java;JavaScript;Node.js;Python;Rust;TypeScript,NA,NA,NA,NA,Windows,"Under 18 years old",Man,"Straight / Heterosexual","Southeast Asian",NA
"Independent contractor, freelancer, or self-employed","United States of America","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",20,20,"Senior Executive (C-Suite, VP, etc.)","I donâ€™t know","USD	United States dollar",NA,Yearly,C#;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL,NA,PostgreSQL,NA,"AWS;DigitalOcean;Google Cloud Platform",NA,MacOS,"Prefer not to say",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Brazil,"Some college/university study without earning a degree",12,12,"Developer, front-end","10 to 19 employees","BRL	Brazilian real",3200,Monthly,Dart;HTML/CSS;JavaScript;TypeScript,Dart;HTML/CSS;JavaScript;Node.js;TypeScript,Firebase;MySQL;SQLite,Firebase;MySQL;SQLite,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","Or, in your own words:",8796
"Student, full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",3,NA,NA,NA,NA,NA,NA,C++;Go;HTML/CSS;Java;JavaScript;Node.js;Python;SQL,Go;Python;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Elasticsearch;Firebase;Redis,Heroku,"AWS;DigitalOcean;Google Cloud Platform;IBM Cloud or Watson",Linux-based,"18-24 years old",Man,"Straight / Heterosexual","South Asian",NA
"Employed full-time","United States of America","Other doctoral degree (Ph.D., Ed.D., etc.)",35,NA,Scientist,NA,NA,NA,NA,Bash/Shell;PHP;R;SQL,Bash/Shell;Clojure;Julia;LISP;PHP;Python;R;SQL,MariaDB,MariaDB,NA,NA,Linux-based,"45-54 years old",Man,"Straight / Heterosexual","East Asian",NA
"Employed full-time",France,"Professional degree (JD, MD, etc.)",3,NA,"Other (please specify):",NA,NA,NA,NA,Bash/Shell;HTML/CSS;PowerShell;Python;SQL,Bash/Shell;C;HTML/CSS;JavaScript;PowerShell;Python;SQL,SQLite,SQLite,NA,NA,Windows,"45-54 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Spain,"Professional degree (JD, MD, etc.)",9,5,"Developer, mobile;Developer, front-end;Developer, full-stack;Engineer, data;Developer, back-end;Developer, embedded applications or devices;Engineering manager","20 to 99 employees","EUR European Euro",30000,Yearly,Kotlin;Python,Kotlin;Python,PostgreSQL;Redis,PostgreSQL;Redis,"Microsoft Azure","Microsoft Azure",Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",32429
"Employed full-time",Spain,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,10,"Other (please specify):","10,000 or more employees","EUR European Euro",1000,Monthly,Assembly;Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Matlab;PHP;Python;R;SQL;TypeScript;VBA,Bash/Shell;C#;C++;Crystal;Dart;Delphi;Elixir;Erlang;F#;Go;Groovy;HTML/CSS;Java;JavaScript;Julia;Kotlin;LISP;Matlab;Node.js;Objective-C;Perl;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA,"Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL","Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite",NA,NA,Windows,"25-34 years old","Woman;Non-binary, genderqueer, or gender non-conforming","Straight / Heterosexual;Prefer to self-describe:","White or of European descent;Hispanic or Latino/a/x;Or, in your own words:",12972
"Independent contractor, freelancer, or self-employed",Philippines,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7,NA,"Developer, mobile;Developer, full-stack",NA,NA,NA,NA,Swift,Swift,MySQL,MySQL,NA,NA,MacOS,"55-64 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Student, full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",13,NA,NA,NA,NA,NA,NA,C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Java;PHP;SQL,Firebase;MongoDB;MySQL;SQLite,Firebase;MongoDB;MySQL;SQLite,"AWS;Google Cloud Platform","AWS;Google Cloud Platform",Windows,"18-24 years old",Man,"Straight / Heterosexual","Or, in your own words:",NA
"Independent contractor, freelancer, or self-employed","Iran, Islamic Republic of...","Some college/university study without earning a degree",5,3,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.","IRR	Iranian rial",15000000,Monthly,HTML/CSS;JavaScript;Node.js;SQL;TypeScript,Go;HTML/CSS;JavaScript;Node.js;Rust;SQL;TypeScript,Firebase;MongoDB;MySQL;PostgreSQL;Redis,MySQL;Redis,Heroku,DigitalOcean,Windows,"18-24 years old",Man,"Straight / Heterosexual","Middle Eastern",4272
"Employed full-time",Spain,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",9,4,"Developer, full-stack","I donâ€™t know","EUR European Euro",26000,Yearly,C#;JavaScript;Kotlin;TypeScript,C#;JavaScript;Kotlin;SQL;TypeScript,Firebase;MySQL,Elasticsearch;Firebase;MongoDB;MySQL;Redis,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent;Hispanic or Latino/a/x",28105
"Employed full-time",Finland,"Primary/elementary school",4,1,"Developer, full-stack;Developer, back-end;Designer","20 to 99 employees","EUR European Euro",NA,NA,PHP,Python,MariaDB;MySQL,Elasticsearch;PostgreSQL;Redis,DigitalOcean,DigitalOcean,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Student, part-time",Uzbekistan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2,NA,NA,NA,NA,NA,NA,Bash/Shell;C;Delphi;HTML/CSS;JavaScript;Node.js;PHP;Python;Rust;SQL;TypeScript,Bash/Shell;C;Haskell;Python;Rust;SQL,MongoDB,MongoDB;MySQL;Redis;SQLite,NA,NA,Linux-based,"Under 18 years old",NA,"Straight / Heterosexual",NA,NA
"Employed full-time",France,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,"Less than 1 year","Developer, full-stack","2 to 9 employees","EUR European Euro",NA,NA,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,PostgreSQL,NA,"AWS;Google Cloud Platform;Heroku",AWS,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Finland,"Some college/university study without earning a degree",30,20,"Developer, back-end;Database administrator;Designer","500 to 999 employees","EUR European Euro",6000,Monthly,Bash/Shell;Java;SQL,Bash/Shell;Java;SQL,Oracle;PostgreSQL,PostgreSQL,AWS,AWS,Linux-based,"45-54 years old",Man,"Straight / Heterosexual","White or of European descent",77832
"Not employed, but looking for work",India,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)","Less than 1 year",NA,Student,NA,NA,NA,NA,HTML/CSS;JavaScript;Node.js;PHP,HTML/CSS;JavaScript;Node.js;TypeScript,Firebase;MongoDB;MySQL,Firebase;MongoDB;PostgreSQL,Heroku,Heroku,Windows,"25-34 years old",Man,"Straight / Heterosexual","East Asian",NA
"Employed full-time",Nepal,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,4,"Developer, front-end;Developer, full-stack;Developer, back-end","100 to 499 employees","NPR	Nepalese rupee",NA,Monthly,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript,"Cassandra;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis","Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis",NA,NA,Linux-based,"18-24 years old",Man,NA,"South Asian",NA
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Other doctoral degree (Ph.D., Ed.D., etc.)",10,4,"Academic researcher;Scientist","20 to 99 employees","GBP	Pound sterling",40000,Yearly,Matlab;Python;Ruby,Matlab;Python,NA,NA,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",51704
"Employed full-time","Costa Rica","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",23,23,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;Designer;System administrator","20 to 99 employees","USD	United States dollar",1500,Monthly,HTML/CSS;JavaScript;Node.js;PHP;SQL,HTML/CSS;JavaScript;Node.js,MongoDB;MySQL,MongoDB,NA,NA,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",18000
"Student, full-time","United States of America","Primary/elementary school",5,NA,NA,NA,NA,NA,NA,Haskell;Java;JavaScript;Python;Rust;Scala,Haskell;Java;Kotlin;Node.js;Rust;Scala;TypeScript,NA,NA,Heroku,AWS;DigitalOcean;Heroku,Linux-based,"Under 18 years old",Man,"Straight / Heterosexual","East Asian",NA
"Independent contractor, freelancer, or self-employed",Netherlands,"Some college/university study without earning a degree",20,15,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;System administrator","2 to 9 employees","EUR European Euro",40000,Yearly,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL,NA,MariaDB;MySQL;PostgreSQL;SQLite,NA,AWS;Heroku,NA,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",43239
"Employed full-time",Egypt,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,1,"Developer, mobile","100 to 499 employees","EGP	Egyptian pound",144000,Yearly,JavaScript;Kotlin,Swift,MySQL;SQLite,MongoDB,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","Middle Eastern",9231
"Student, full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",7,NA,NA,NA,NA,NA,NA,Assembly;Bash/Shell;C;C++;Dart;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;PowerShell;Python;TypeScript,Bash/Shell;C++;Go;JavaScript;Node.js;PowerShell;Rust;TypeScript,"Firebase;Microsoft SQL Server;MongoDB;MySQL",MongoDB;SQLite,"Heroku;Microsoft Azure","Microsoft Azure",Windows,"18-24 years old",Man,NA,"South Asian",NA
"Employed full-time",Germany,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",25,15,"Developer, full-stack;Developer, back-end","100 to 499 employees","EUR European Euro",65000,Yearly,C#;HTML/CSS;TypeScript,C#;HTML/CSS;R;TypeScript,"Microsoft SQL Server;SQLite","Microsoft SQL Server;Redis;SQLite","Microsoft Azure","Microsoft Azure",Windows,"35-44 years old",Man,"Prefer not to say",Multiracial,70264
"Employed part-time",Ukraine,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",5,4,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;Designer","10 to 19 employees","UAH	Ukrainian hryvnia",NA,Monthly,Java;JavaScript;Node.js;PHP,JavaScript,MongoDB;PostgreSQL;Redis,PostgreSQL;Redis,"Google Cloud Platform","Google Cloud Platform",MacOS,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Student, full-time","South Africa","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,NA,NA,NA,NA,NA,NA,C;Delphi;HTML/CSS;JavaScript;PowerShell;Python;SQL,HTML/CSS;Python;SQL,MySQL;SQLite,MySQL;SQLite,NA,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Student, full-time","United States of America","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2,NA,NA,NA,NA,NA,NA,Bash/Shell;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;SQL,MySQL,MySQL,"Google Cloud Platform;Heroku","Google Cloud Platform;Heroku","Other (please specify):","Under 18 years old",Man,"Straight / Heterosexual","White or of European descent",NA
